dellignoto, dell'ignoto,
laccorgersi l'accorgersi
dellattività dell'attività
luomo l'uomo
nellOnorevole nell'Onorevole
allUomo all'Uomo
dellazione dell'azione
leducazione l'educazione
allidea all'idea
unepoca un'epoca
ununiformità un'uniformità
didee. d'idee.
dellargomento dell'argomento
lumanità l'umanità
nellinsieme, nell'insieme,
laccompagna l'accompagna
legoismo, l'egoismo,
limmane l'immane
cè c'è
lattività l'attività
dellindividuo dell'individuo
losservatore, l'osservatore,
anchesso anch'esso
dallonda dall'onda
doggi, d'oggi,
anchessi, anch'essi,
anchessi anch'essi
darrivare, d'arrivare,
lOnorevole l'Onorevole
lUomo l'Uomo
lesistenza, l'esistenza,
lambizione l'ambizione
dallumile dall'umile
alluomo all'uomo
dallingegno dall'ingegno
allartista all'artista
unaltra un'altra
dellambizione. dell'ambizione.
comè com'è
nerano n'erano
allopposto all'opposto
devessere. dev'essere.
allOgnina, all'Ognina,
sullacqua, sull'acqua,
chera ch'era
saiutino s'aiutino
lun l'un
laltro. l'altro.
quarantore; quarant'ore;
cera c'era
larco l'arco
comera com'era
sera s'era
ventanni, vent'anni,
tuttora tutt'ora
lequilibrio, l'equilibrio,
«SantAgata» «Sant'Agata»
luno l'uno
laltro, l'altro,
tha t'ha
lavrebbero l'avrebbero
po po'
lamor l'amor
lavesse l'avesse
collandare coll'andare
labitino l'abitino
anchesso, anch'esso,
quattrocchi quattr'occhi
unora, un'ora,
sullargine sull'argine
lerba l'erba
dellorto, dell'orto,
lera l'era
nellapparecchiare nell'apparecchiare
largano. l'argano.
allosteria all'osteria
lavessi l'avessi
dallora d'allora
lavevano l'avevano
dellOgnina, dell'Ognina,
lavrebbe l'avrebbe
laveva l'aveva
dellosteria, dell'osteria,
lannata l'annata
lanima l'anima
diciassettanni, diciassett'anni,
«Luomo «L'uomo
lacqua l'acqua
dovera dov'era
daccordo d'accordo
quarantonze quarant'onze
linverno l'inverno
lorciolino l'orciolino
collolio, coll'olio,
quellusuraio quell'usuraio
chè ch'è
dinganno»; d'inganno»;
lavemaria, l'avemaria,
quellora quell'ora
allantenna all'antenna
unanitroccola. un'anitroccola.
lultima l'ultima
daltro d'altro
sulluscio sull'uscio
doro! d'oro!
sè s'è
dallalto dall'alto
allanno! all'anno!
allosteria, all'osteria,
cosaltra cos'altra
delleredità, dell'eredità,
centra c'entra
quellora. quell'ora.
mezzora mezz'ora
unora un'ora
mo mo'
Lestate L'estate
sulluscio, sull'uscio,
laccendeva, l'accendeva,
luovo, l'uovo,
doro, d'oro,
questora quest'ora
allarte all'arte
laffare l'affare
lolio l'olio
collarcolaio coll'arcolaio
lordito l'ordito
SantAgata, Sant'Agata,
dalluscio dall'uscio
anchessa anch'essa
lavessero l'avessero
tantoro, tant'oro,
luscio l'uscio
SantAntonio Sant'Antonio
luscio; l'uscio;
luscio, l'uscio,
doggi d'oggi
dandare d'andare
dEgitto! d'Egitto!
allimprovviso, all'improvviso,
saccorgeva s'accorgeva
allosteria. all'osteria.
laccusava l'accusava
dinferno, d'inferno,
lortolano l'ortolano
Lho L'ho
laccompagnava, l'accompagnava,
dovè. dov'è.
allaltro. all'altro.
dellasino, dell'asino,
anchessa. anch'essa.
santAgata! sant'Agata!
lanno l'anno
Cera C'era
anchio, anch'io,
dalluscio, dall'uscio,
santAgata, sant'Agata,
po. po'.
SantAgata Sant'Agata
dellasino dell'asino
anchesse anch'esse
de de'
lha l'ha
quellaria quell'aria
allaltro all'altro
dimitare d'imitare
ludisse l'udisse
cerano c'erano
lasino l'asino
laccendessero, l'accendessero,
quellaltro, quell'altro,
alloscuro; all'oscuro;
lolio, l'olio,
langelus l'angelus
quellaltro quell'altro
quellandatura. quell'andatura.
doggi! d'oggi!
